NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,latitude,longitude
31EH,U,VOS,Onbekend,Buitendams 45.0 ,3371BA,HARDINXVELD-GIESSENDAM,Zuid-Holland,Active,Regular Secondary School,8.5,2010s,,2016-08-01 to Present,2016-08-01,,51.8269527,4.8323515
31CX,U,VOS,De Vallei Democratisch Voorgezet Onderwijs,Hofplein 1.0 ,6665DH,DRIEL,Gelderland,Active,Regular Secondary School,9.3,2010s,,2015-10-01 to Present,2015-10-01,,51.9613682,5.8113033
31CF,U,VOS,Life!,Floraparkweg 1.0 ,1032BZ,AMSTERDAM,Noord-Holland,Active,Regular Secondary School,9.4,2010s,,2015-09-01 to Present,2015-09-01,,52.3956397,4.9204493
31CF,U,VOS,Life!,Noordeinde 124.0 H,1121AL,LANDSMEER,Noord-Holland,Active,Regular Secondary School,9.4,2010s,,2015-09-01 to Present,2015-09-01,,52.436601,4.913601
31CF,U,VOS,Democratische School Amsterdam,Akersluis 10.0 ,1066EZ,AMSTERDAM,Noord-Holland,Active,Regular Secondary School,9.4,2010s,,2015-09-01 to Present,2015-09-01,,52.3415305,4.792231699999999
31DD,U,VOS,School for Excellence,Insingerstraat 37.0 ,3766MA,SOEST,Utrecht,Active,Regular Secondary School,9.5,2010s,,2015-08-01 to Present,2015-08-01,,52.1620995,5.2786613
31YY,U,VOS,International Advent School,Frans Halsstraat 21.0 ,7021DL,ZELHEM,Gelderland,Active,Regular Secondary School,9.5,2010s,,2015-08-01 to Present,2015-08-01,,52.0083609,6.3543993
31CB,U,VOS,IBBO Chalcedoon,Osseweide 1.0 c,7943GG,MEPPEL,Drenthe,Active,Regular Secondary School,9.7,2010s,,2015-05-18 to Present,2015-05-18,,52.69609759999999,6.2199084
31CB,U,VOS,IBBO Chalcedoon,Argusvlinder 2.0 A,7943RX,MEPPEL,Drenthe,Active,Regular Secondary School,9.7,2010s,,2015-05-18 to Present,2015-05-18,,52.6980091,6.2294933
31CB,U,VOS,IBBO Chalcedoon,Linthorst Homanstraat 22.0 ,8384EE,WILHELMINAOORD,Drenthe,Active,Regular Secondary School,9.7,2010s,,2015-05-18 to Present,2015-05-18,,52.8555642,6.1668718
30YE,U,VOS,Maupertuus,Horstlaan 2.0 ,3971LC,DRIEBERGEN-RIJSENBURG,Utrecht,Active,Regular Secondary School,10.2,2010s,,2014-11-01 to Present,2014-11-01,,52.048899,5.2973909
30YE,U,VOS,Maupertuus,Hoofdstraat 248.0 ,3972LK,DRIEBERGEN-RIJSENBURG,Utrecht,Active,Regular Secondary School,10.2,2010s,,2014-11-01 to Present,2014-11-01,,52.0451023,5.295715
30YC,U,VOS,Democratisch Onderwijs Eindhoven DOE040,Den Dolech 2.0 ,5612AZ,EINDHOVEN,Noord-Brabant,Active,Regular Secondary School,10.3,2010s,,2014-10-01 to Present,2014-10-01,,51.4463595,5.484329499999999
31AB,U,VOS,Libertad,Doelen 36.0 ,4813GR,BREDA,Noord-Brabant,Closed,Regular Secondary School,8.9,2010s,2020s,2014-09-01 to 2023-08-01,2014-09-01,2023-08-01,51.5752578,4.7380138
31AB,U,VOS,Stichting Libertad Democratische School Breda,Markt 24.0 ,4841AC,PRINSENBEEK,Noord-Brabant,Closed,Regular Secondary School,8.9,2010s,2020s,2014-09-01 to 2023-08-01,2014-09-01,2023-08-01,51.9278612,4.3428984
30YP,U,VOS,Newschool.nu,Hogepad 14.0 ,3841DL,HARDERWIJK,Gelderland,Active,Regular Secondary School,10.4,2010s,,2014-09-01 to Present,2014-09-01,,52.34504949999999,5.618620099999999
30YP,U,VOS,Sudburyschool Harderwijk (was eerst Newschool.nu),Satelliet 8.0 ,3824MT,AMERSFOORT,Utrecht,Active,Regular Secondary School,10.4,2010s,,2014-09-01 to Present,2014-09-01,,52.1960638,5.3879003
30WH,U,VOS,"Avicenna College voor vwo, havo, mavo en vbo",Schere 47.0 ,3085DT,ROTTERDAM,Zuid-Holland,Active,Regular Secondary School,10.5,2010s,,2014-08-01 to Present,2014-08-01,,51.87520250000001,4.4874368
30WH,U,VOS,"Avicenna College voor vwo, havo, mavo en vbo",Montessoriweg 55.0 ,3083AN,ROTTERDAM,Zuid-Holland,Active,Regular Secondary School,10.5,2010s,,2014-08-01 to Present,2014-08-01,,51.8850097,4.4946389
30WN,U,VOS,Logi-K,Oude Almeloseweg 78.0 ,7622CZ,BORNE,Overijssel,Closed,Regular Secondary School,1.6,2010s,2010s,2014-01-01 to 2015-08-01,2014-01-01,2015-08-01,52.3065632,6.7482216
