NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,postcode_cleaned,house_number,latitude,longitude,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,CODE_STAND_RECORD
03WE01,D,ILOC,Basisschool Franciscus,Schoollaan 2.0 ,6241bm,2,50.8943376,5.730334099999999,6241BM,BUNDE,Limburg,Closed,International Education Center,8.0,2000s,2010s,2007-01-01 to 2015-01-01,2007-01-01,2015-01-01,H
16EO01,D,ILOC,Dislocatie De Horizon,Eindhovenstraat 49.0 ,6415ce,49,50.8943646,5.9929207,6415CE,HEERLEN,Limburg,Closed,International Education Center,17.7,1980s,2000s,1985-08-01 to 2003-04-11,1985-08-01,2003-04-11,H
03WE01,D,ILOC,Basisschool Franciscus,Pastoorslaan 2.0 ,6241bk,2,50.8947793,5.731541,6241BK,BUNDE,Limburg,Closed,International Education Center,8.0,2000s,2010s,2007-01-01 to 2015-01-01,2007-01-01,2015-01-01,H
20KL02,D,ILOC,SBO de Griffel,L.T.M.-weg 123.0 ,6412bs,123,50.8951624,5.977309200000001,6412BS,HEERLEN,Limburg,Closed,International Education Center,66.2,1930s,2000s,1937-12-01 to 2004-01-27,1937-12-01,2004-01-27,H
16VM06,D,ILOC,Herlecollege (leerjaar 1+2),Heldevierlaan 2.0 ,6415sb,2,50.8991586,5.9774078,6415SB,HEERLEN,Limburg,Closed,International Education Center,50.7,1960s,2010s,1962-01-01 to 2012-09-01,1962-01-01,2012-09-01,H
18RL01,D,ILOC,Alineos,Mijnzetellaan 8.0 ,6412en,8,50.8992104,5.957351699999999,6412EN,HEERLEN,Limburg,Closed,International Education Center,15.1,1980s,2000s,1985-08-01 to 2000-09-01,1985-08-01,2000-09-01,H
20SZ01,D,ILOC,Dislocatie Schaesberg,Lichtenbergerstraat 2.0 ,6371av,2,50.9039279,6.0190548,6371AV,LANDGRAAF,Limburg,Closed,International Education Center,21.8,1980s,2000s,1985-08-01 to 2007-05-07,1985-08-01,2007-05-07,H
20TO02,D,ILOC,basisschool Gravenrode loc. 't Kakertshöfke,Jan de Witplein 10.0 ,6371cd,10,50.905219,6.0075863,6371CD,LANDGRAAF,Limburg,Closed,International Education Center,27.4,1980s,2010s,1985-08-01 to 2013-01-01,1985-08-01,2013-01-01,H
10XQ01,D,ILOC,"Basisschool Nieuw-Lotbroek, loc AZC-school",Prinsenstraat 14.0 ,6433gj,14,50.909786,5.925643,6433GJ,HOENSBROEK,Limburg,Closed,International Education Center,3.0,2010s,2010s,2011-08-01 to 2014-08-01,2011-08-01,2014-08-01,H
18RL02,D,ILOC,Rennemig,Fossielenerf 27.0 b,6413ln,27,50.9126918,5.9538955,6413LN,HEERLEN,Limburg,Closed,International Education Center,29.0,1980s,2010s,1985-08-01 to 2014-08-01,1985-08-01,2014-08-01,H
12AW01,D,ILOC,Afdeling AZ,Op de Bies 66.0 ,6333bz,66,50.91554,5.832844,6333BZ,SCHIMMERT,Limburg,Closed,International Education Center,19.0,1980s,2000s,1985-08-01 to 2004-08-01,1985-08-01,2004-08-01,H
23BX01,D,ILOC,Dislocatie De Wegwijzer,Veeweg 50.0 ,6374ar,50,50.91890129999999,6.0411997,6374AR,LANDGRAAF,Limburg,Closed,International Education Center,14.9,1980s,2000s,1989-08-01 to 2004-07-12,1989-08-01,2004-07-12,H
20AG01,D,ILOC,SBO-school De Boemerang,Prof. Eykmanlaan 8.0 ,6431xc,8,50.9198341,5.9345954,6431XC,HOENSBROEK,Limburg,Closed,International Education Center,106.7,1900s,2000s,1900-01-01 to 2006-09-01,1900-01-01,2006-09-01,H
18QK01,D,ILOC,Openbare Basisschool Theo Thijssen loc. De Dem,Prof. Einthovenstraat 10.0 ,6431vc,10,50.9214717,5.936044799999999,6431VC,HOENSBROEK,Limburg,Closed,International Education Center,4.0,2010s,2010s,2010-08-01 to 2014-08-01,2010-08-01,2014-08-01,H
18RL03,D,ILOC,Vrieheide,Parkweg 2.0 ,6414hl,2,50.9217762,5.969073799999999,6414HL,HEERLEN,Limburg,Closed,International Education Center,30.0,1980s,2010s,1985-08-01 to 2015-08-01,1985-08-01,2015-08-01,H
16HE01,D,ILOC,Dislocatie De Schakel,De Gasperistraat 10.0 ,6414gc,10,50.9225912,5.966315700000001,6414GC,HEERLEN,Limburg,Active,International Education Center,39.5,1980s,,1985-08-01 to Present,1985-08-01,,H
23VY01,D,ILOC,Coriovallum SBO-school,Oude Brunssummerweg 97.0 ,6414sh,97,50.9284238,5.9648395,6414SH,HEERLEN,Limburg,Closed,International Education Center,11.2,1990s,2000s,1990-06-01 to 2001-08-01,1990-06-01,2001-08-01,H
