NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,postcode_cleaned,house_number,latitude,longitude,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,CODE_STAND_RECORD
04GU06,D,VSTZ,Elde College Schijndel voor Atheneum Havo Mavo Vbo Lwoo,Bunderstraat 8.0 ,5481kd,8,51.6169109,5.429088399999999,5481KD,SCHIJNDEL,Noord-Brabant,Active,Secondary Branch Location,22.5,2000s,,2002-08-01 to Present,2002-08-01,,H
04SU,U,VOS,Zwijsencollege Scholengemeenschap voor Lyceum en Havo en Mavo,Burg. de Kuijperlaan 10.0 ,5461aa,10,51.6194017,5.5385897,5461AA,VEGHEL,Noord-Brabant,Active,Regular Secondary School,76.4,1940s,,1948-09-01 to Present,1948-09-01,,H
08QR,U,VOS,Fioretti College SGM v Atheneum Havo Mavo Vbo Lwoo,Muntelaar 4.0 ,5467ha,4,51.6215284,5.561665,5467HA,VEGHEL,Noord-Brabant,Closed,Regular Secondary School,26.0,1970s,2000s,1976-08-01 to 2002-08-01,1976-08-01,2002-08-01,H
02JP,U,VOS,Technische School Veghel Vbo Ivbo,Spoorlaan 16.0 ,5461jz,16,51.6243645,5.543267,5461JZ,VEGHEL,Noord-Brabant,Closed,Regular Secondary School,52.3,1940s,1990s,1947-04-11 to 1999-08-01,1947-04-11,1999-08-01,H
04SU,U,VOS,Voortgezet Onderwijs Veghel,Pr W Alexander Sportprk 15.0 ,5461xl,15,51.6266598,5.540469799999999,5461XL,VEGHEL,Noord-Brabant,Active,Regular Secondary School,76.4,1940s,,1948-09-01 to Present,1948-09-01,,H
01BZ,U,VOS,Rooms Katholieke Scholengemeenschap voor Hno en Leao De Brug,Paterserf 6.0 ,4904ar,6,51.630541,4.857229999999999,4904AR,OOSTERHOUT NB,Noord-Brabant,Closed,Regular Secondary School,24.4,1970s,1990s,1974-03-20 to 1998-08-01,1974-03-20,1998-08-01,H
02QO,U,VOS,Sint Oelbert Gymnasium,Warandelaan 3.0 ,4904pa,3,51.6306397,4.8540473,4904PA,OOSTERHOUT NB,Noord-Brabant,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
21GZ,U,VOS,Kwadrant Scholengroep  RK Regionale Scholengemeenschap voor Vwo Havo en Vmbo,Mgr. Schaepmanlaan 13.0 ,5103bb,13,51.6309536,4.9415797,5103BB,DONGEN,Noord-Brabant,Active,Regular Secondary School,41.5,1980s,,1983-08-01 to Present,1983-08-01,,H
21GZ,U,VOS,Cambreurcollege Rk Sgm V Ath Havo Mavo Vbo,Mgr. Schaepmanlaan 11.0 -13,5103bb,11,51.6310066,4.940845599999999,5103BB,DONGEN,Noord-Brabant,Active,Regular Secondary School,41.5,1980s,,1983-08-01 to Present,1983-08-01,,H
02GF,U,VOS,Mgr Frencken College voor Atheneum en Havo,Slotlaan 40.0 ,4902ae,40,51.6346468,4.8586963,4902AE,OOSTERHOUT NB,Noord-Brabant,Active,Regular Secondary School,125.0,1900s,,1900-01-01 to Present,1900-01-01,,H
02NA,U,VOS,Kath Techn Sch,Bouwlingstraat 74.0 ,4902ak,74,51.636095,4.851392,4902AK,OOSTERHOUT NB,Noord-Brabant,Closed,Regular Secondary School,79.6,1910s,1990s,1919-12-22 to 1999-08-01,1919-12-22,1999-08-01,H
30EU,U,VOS,Markland College Zevenbergen,Gildelaan 82.0 ,4761ba,82,51.6404679,4.6058462,4761BA,ZEVENBERGEN,Noord-Brabant,Active,Regular Secondary School,14.5,2010s,,2010-08-01 to Present,2010-08-01,,H
14FL,U,VOS,Mavo Ten Strijen,Stadhouderslaan 14.0 ,4902an,14,51.6405526,4.8527882,4902AN,OOSTERHOUT NB,Noord-Brabant,Closed,Regular Secondary School,25.0,1970s,1990s,1974-08-01 to 1999-08-01,1974-08-01,1999-08-01,H
30MM,U,PROS,"PrO Boxmeer, school voor Praktijkonderwijs",Stationsweg 38.0 b,5831cr,38,51.64180469999999,5.9429776,5831CR,BOXMEER,Noord-Brabant,Active,Practical Education,12.5,2010s,,2012-08-01 to Present,2012-08-01,,H
24AH,U,VOS,Scholengemeenschap voor Vbo Instituut voor Doven Lto Lhno,Theerestraat 42.0 ,5271gd,42,51.6420202,5.3467442,5271GD,SINT-MICHIELSGESTEL,Noord-Brabant,Closed,Regular Secondary School,14.0,1990s,2000s,1991-08-01 to 2005-08-01,1991-08-01,2005-08-01,H
17JY,U,VOS,Rooms katholiek Gymnasium Beekvliet,Beekvlietstraat 4.0 ,5271sm,4,51.6421134,5.3640522,5271SM,SINT-MICHIELSGESTEL,Noord-Brabant,Active,Regular Secondary School,69.0,1950s,,1956-01-01 to Present,1956-01-01,,H
13VV,U,PROS,De Zwaaikom Rooms Katholiek School voor Praktijk Vorming,Nassaustraat 10.0 ,4902na,10,51.64263279999999,4.8458853,4902NA,OOSTERHOUT NB,Noord-Brabant,Active,Practical Education,45.5,1970s,,1979-08-01 to Present,1979-08-01,,H
06XL01,D,VSTS,Thomas More Col Sgm Kath Ath Havo Mavo Vbo Ivbo,Burgemeester Vranckenstr 6.0 ,4761ad,6,51.6439781,4.6120465,4761AD,ZEVENBERGEN,Noord-Brabant,Closed,Secondary Technical School,110.6,1900s,2010s,1900-01-01 to 2010-08-01,1900-01-01,2010-08-01,H
17HN,U,VOS,Elzendaalcollege Rooms Katholieke Scholengemeenschap voor Lyc Havo Mavo,Bilderbeekstraat 27.0 ,5831cw,27,51.6451897,5.9426643,5831CW,BOXMEER,Noord-Brabant,Active,Regular Secondary School,75.4,1940s,,1949-09-01 to Present,1949-09-01,,H
22DY,U,VOS,Molenrijn Sgm V Ber Ond Vught Lhno Ihno Lto,Brabantlaan 1.0 ,5262gw,1,51.64525219999999,5.2866667,5262GW,VUGHT,Noord-Brabant,Closed,Regular Secondary School,16.0,1980s,2000s,1987-08-01 to 2003-08-01,1987-08-01,2003-08-01,H
30EU,U,VOS,Markland College Zevenbergen,Vaandelweg 4.0 ,4761bc,4,51.6460635,4.607522599999999,4761BC,ZEVENBERGEN,Noord-Brabant,Active,Regular Secondary School,14.5,2010s,,2010-08-01 to Present,2010-08-01,,H
