NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,location_type,function_type,education_type,temporal_status,years_of_operation
00EC,U,UNIV,higher,main,Seminarie Der Unie van Baptisten Gemeenten in Nederland,Biltseweg 10.0 ,3735MC,BOSCH EN DUIN,Utrecht,1958-09-01,2015-01-01,False,H,UNIV,U,Research University,Historical,56.3
00EC00,D,LOC,higher,locations,Seminarie Der Unie van Baptisten Gemeenten in Nederland,Biltseweg 10.0 ,3735MC,BOSCH EN DUIN,Utrecht,1958-09-01,2015-01-01,False,H,LOC,D,Higher Education Location,Historical,56.3
00EG00,D,LOC,higher,locations,VVA IZ Maatkleding Goud Zilversmid Horlogemaker,De Steiger 7.0 A,1351AA,ALMERE,Flevoland,1984-10-17,2003-08-01,False,H,LOC,D,Higher Education Location,Historical,18.8
00EY,U,HBOS,higher,main,Rijkshogeschool Groningen,Postbus 30030.0 ,9700RM,GRONINGEN,Groningen,1983-03-01,1997-09-01,False,H,HBOS,U,University of Applied Sciences,Historical,14.5
00EY00,D,LOC,higher,locations,Rijkshogeschool Groningen,Verzetsstrijderslaan 2.0 ,9727CE,GRONINGEN,Groningen,1983-03-01,1997-09-01,False,H,LOC,D,Higher Education Location,Historical,14.5
00GM00,D,LOC,higher,locations,Centr Sch Opl Verpleegk Friesland,Mr. P.J. Troelstraweg 78.0 ,8917CR,LEEUWARDEN,Friesland,1983-09-01,1996-01-01,False,H,LOC,D,Higher Education Location,Historical,12.3
00GT01,D,LOC,higher,locations,Lokatie HEINDK,Heindijk 16.0 ,3079PM,ROTTERDAM,Zuid-Holland,1996-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT01,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Heindijk 16.0 ,3079PM,ROTTERDAM,Zuid-Holland,1996-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT02,D,LOC,higher,locations,Lokatie SCHOOLSTR,Schoolstraat 11.0 ,3241CT,MIDDELHARNIS,Zuid-Holland,1996-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT02,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Schoolstraat 11.0 ,3241CT,MIDDELHARNIS,Zuid-Holland,1996-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT03,D,LOC,higher,locations,Lokatie JUNIUSSTR,Juniusstraat 6.0 ,2625XZ,DELFT,Zuid-Holland,1996-08-01,2010-08-01,False,H,LOC,D,Higher Education Location,Historical,14.0
00GT03,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Juniusstraat 6.0 ,2625XZ,DELFT,Zuid-Holland,1996-08-01,2010-08-01,False,H,LOC,D,Higher Education Location,Historical,14.0
00GT04,D,LOC,higher,locations,Lokatie MERCURIUSLN,Mercuriuslaan 16.0 ,3255TV,OUDE-TONGE,Zuid-Holland,1996-08-01,2021-01-01,False,H,LOC,D,Higher Education Location,Historical,24.4
00GT04,D,LOC,higher,locations,Roc Albeda College,Mercuriuslaan 16.0 ,3255TV,OUDE-TONGE,Zuid-Holland,1996-08-01,2021-01-01,False,H,LOC,D,Higher Education Location,Historical,24.4
00GT04,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Mercuriuslaan 16.0 ,3255TV,OUDE-TONGE,Zuid-Holland,1996-08-01,2021-01-01,False,H,LOC,D,Higher Education Location,Historical,24.4
00GT04,D,LOC,higher,locations,Stichting Albeda,Mercuriuslaan 16.0 ,3255TV,OUDE-TONGE,Zuid-Holland,1996-08-01,2021-01-01,False,A,LOC,D,Higher Education Location,Historical,24.4
00GT05,D,LOC,higher,locations,Lokatie B BALLOTLN,Buys-Ballotlaan 25.0 ,3132SC,VLAARDINGEN,Zuid-Holland,1996-08-01,,True,H,LOC,D,Higher Education Location,Active,28.5
00GT05,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Buys-Ballotlaan 25.0 ,3132SC,VLAARDINGEN,Zuid-Holland,1996-08-01,,True,H,LOC,D,Higher Education Location,Active,28.5
00GT05,D,LOC,higher,locations,Stichting Albeda,Buys-Ballotlaan 25.0 ,3132SC,VLAARDINGEN,Zuid-Holland,1996-08-01,,True,A,LOC,D,Higher Education Location,Active,28.5
00GT06,D,LOC,higher,locations,Lokatie KANAALSTR,Kanaalstraat 31.0 ,2801SH,GOUDA,Zuid-Holland,1996-08-01,2019-02-18,False,H,LOC,D,Higher Education Location,Historical,22.5
00GT06,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Kanaalstraat 31.0 ,2801SH,GOUDA,Zuid-Holland,1996-08-01,2019-02-18,False,H,LOC,D,Higher Education Location,Historical,22.5
00GT07,D,LOC,higher,locations,Lokatie UITLOOP,Uitloop 44.0 ,3262CE,OUD-BEIJERLAND,Zuid-Holland,1996-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT07,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Uitloop 44.0 ,3262CE,OUD-BEIJERLAND,Zuid-Holland,1996-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT08,D,LOC,higher,locations,Lokatie KREKELVEEN,Krekelveen 338.0 ,3205RJ,SPIJKENISSE,Zuid-Holland,1996-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT08,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Krekelveen 338.0 ,3205RJ,SPIJKENISSE,Zuid-Holland,1996-08-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,5.0
00GT09,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Spinozaweg 400.0 ,3076ET,ROTTERDAM,Zuid-Holland,1997-02-01,2000-08-01,False,H,LOC,D,Higher Education Location,Historical,3.5
00GT10,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Schiedamseweg 245.0 ,3118JB,SCHIEDAM,Zuid-Holland,1997-02-01,,True,H,LOC,D,Higher Education Location,Active,28.0
00GT10,D,LOC,higher,locations,Stichting Albeda,Schiedamseweg 245.0 ,3118JB,SCHIEDAM,Zuid-Holland,1997-02-01,,True,A,LOC,D,Higher Education Location,Active,28.0
00GT11,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Mathenesserdijk 455.0 ,3026GH,ROTTERDAM,Zuid-Holland,1997-02-01,2000-08-01,False,H,LOC,D,Higher Education Location,Historical,3.5
00GT12,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Brouwerijstraat 1.0 ,3142GA,MAASSLUIS,Zuid-Holland,1997-02-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,4.5
00GT13,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Burg Van Haarenlaan 952.0 ,3118GL,SCHIEDAM,Zuid-Holland,1997-02-01,2001-08-01,False,H,LOC,D,Higher Education Location,Historical,4.5
00GT14,D,LOC,higher,locations,Regionaal Opleidingencentrum Albeda College,Druivenstraat 1.0 ,2671SC,NAALDWIJK,Zuid-Holland,1997-02-01,2003-08-01,False,H,LOC,D,Higher Education Location,Historical,6.5
00GT15,D,LOC,higher,locations,Regionaal Opleidingen Centrum Albeda College,Haastrechtstraat 3.0 ,3079DC,ROTTERDAM,Zuid-Holland,1998-08-01,,True,H,LOC,D,Higher Education Location,Active,26.5
00GT15,D,LOC,higher,locations,Stichting Albeda,Haastrechtstraat 3.0 ,3079DC,ROTTERDAM,Zuid-Holland,1998-08-01,,True,A,LOC,D,Higher Education Location,Active,26.5
