NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF
24BN,U,BAS,Obs Trinoom,De Geer 1202.0 ,6605HV,WIJCHEN,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24BN,U,BAS,Openbare Basisschool Trinoom,Diemewei 4505.0 ,6605XH,WIJCHEN,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24BP,U,BAS,Bs T Mulderke,Wislaan 219.0 ,5406AC,UDEN,Noord-Brabant,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24BR,U,BAS,Openbare Basisschool de Cirkel,Wislaan 221.0 ,5406AC,UDEN,Noord-Brabant,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24CN,U,BAS,Het Veer,Rottumstraat 85.0 ,6922EX,DUIVEN,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24CP,U,BAS,Openbare Basisschool de Waterlelie,Goudenregenzoom 73.0 ,2719HE,ZOETERMEER,Zuid-Holland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24CR,U,BAS,Protestants Christelijke Basisschool Prins Clausschool,Straspad 1.0 ,2719VG,ZOETERMEER,Zuid-Holland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24CT,U,BAS,Rk Basissch De Floriant,Florasingel 17.0 ,2719HP,ZOETERMEER,Zuid-Holland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DA,U,BAS,Obs De Muze,Elzenstraat 2.0 ,6523EV,NIJMEGEN,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DA,U,BAS,Obs De Muze,Dommer v Poldersveldtweg 122.0 ,6523DC,NIJMEGEN,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DB,U,BAS,Openbare Basisschool De Wissel,Jan van Salmstraat 3.0 ,6121NE,BORN,Limburg,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DB,U,BAS,Openbare Basisschool de Wissel,Jan van Salmstraat 5.0 A,6121NE,BORN,Limburg,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DE,U,SBAS,School voor Speciaal Basisonderwijs De Akker,Petrus Camperstraat 1.0 ,2992KK,BARENDRECHT,Zuid-Holland,Active,Special Primary Education,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DF,U,SBAS,Ds D A Detmarschool So-Lom,Verlengde Parkweg 47.0 B,6717GL,EDE,Gelderland,Active,Special Primary Education,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DH,U,BAS,Islamitische Basisschool Er Riseleh,Stadhouderslaan 1.0 B,2313AB,LEIDEN,Zuid-Holland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DP,U,BAS,Alg Basissch Oostelijke Eilanden,Kraijenhoffstraat 10.0 ,1018RK,AMSTERDAM,Noord-Holland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DR,U,BAS,Obd De Dromedaris,Wolfsbosweg 1.0 ,6642CA,BEUNINGEN GLD,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DR,U,BAS,OBD De Dromedaris,Wolfsbossingel 105.0 ,6642CM,BEUNINGEN GLD,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DR,U,BAS,OBD De Dromedaris,Lagunesingel 13.0 ,6642ER,BEUNINGEN GLD,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DV,U,BAS,Openbare basisschool het Toverkruid,Dalkruid 23.0 ,5721RR,ASTEN,Noord-Brabant,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DV,U,BAS,Openbare basisschool het Toverkruid,Dionysiusstraat 4.0 ,5724AC,OMMEL,Noord-Brabant,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DW,U,BAS,Ref Bs De Wartburg,Laan 1940-1945 33.0 ,3931CR,WOUDENBERG,Utrecht,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24DX,U,BAS,Christelijke Basisschool de Fontein,Jan de Geusrede 39.0 A,2901CN,CAPELLE AAN DEN IJSSEL,Zuid-Holland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24EC,U,BAS,Ref Basisschool de Zaaier,Dierenriemstraat 2.0 A,9742AH,GRONINGEN,Groningen,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24ED,U,BAS,Montessorischool Emmen,Meerstraat 14.0 ,7815XG,EMMEN,Drenthe,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24ED,U,BAS,Montessorischool Emmen,A.L. Lesturgeonstraat 3.0 ,7815VD,EMMEN,Drenthe,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24EE,U,BAS,De Poort Montessori Basisschool,Kard van Rossumplein 99.0 ,6221SZ,MAASTRICHT,Limburg,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24EJ,U,BAS,Islamitische Basisschool Al Iman,Harderwijkoever 3.0 ,1324HA,ALMERE,Flevoland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24EL,U,BAS,Islamitische Basisschool,Meidoornlaan 42.0 ,4621BR,BERGEN OP ZOOM,Noord-Brabant,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24ER,U,BAS,Islamitische Basisschool El-Inkade,Kranenburg 12.0 ,6714DV,EDE,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24ER,U,BAS,Islamitische Basisschool El-Inkade,Goudenstein 9.0 ,6714DA,EDE,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24ET,U,BAS,Gereformeerde Basisschool,Jukveld 2.0 ,3993GA,HOUTEN,Utrecht,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24EY,U,BAS,Nederlandsche Islamitische Basisschool Al Ummah,Javastraat 6.0 ,7512ZJ,ENSCHEDE,Overijssel,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24EY,U,BAS,Nederlandsche Islamitische Basisschool Al Ummah,Het Riet 30.0 ,7544HH,ENSCHEDE,Overijssel,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24FE,U,BAS,Islamitische Basisschool Ibn-I Sina,Agnietenstraat 227.0 ,6822JP,ARNHEM,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24FE,U,BAS,Islamitische Basisschool Ibn-I Sina,Kinderkamp 5.0 a,6825JA,ARNHEM,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24FK,U,BAS,Islamitische Basisschool Abibakr,Waldeck Pyrmontsingel 40.0 ,6524BB,NIJMEGEN,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24FK,U,BAS,Islamitische Basisschool Abibakr,Heiweg 99.0 ,6533PA,NIJMEGEN,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24FP,U,BAS,Rehoboth,Patrijsstraat 1.0 A,4043MP,OPHEUSDEN,Gelderland,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24JJ,U,BAS,Openbare Basisschool,Prins Hendriklaan 390.0 ,6443AE,BRUNSSUM,Limburg,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24JJ,U,BAS,Openbare Basisschool De Trampoline,Raadhuisstraat 125.0 ,6441CP,BRUNSSUM,Limburg,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24JJ,U,BAS,Openbare Basisschool De Trampoline,Prins Bernhardstraat 40.0 b,6441AL,BRUNSSUM,Limburg,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24MB,U,BAS,De Linderte,Gieteling 36.0 ,8103EZ,RAALTE,Overijssel,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
24MB,U,BAS,De Linderte,Richterambtweg 1.0 ,8103HX,RAALTE,Overijssel,Active,Regular Primary School,33.6,1990s,,1991-06-01 to Present,1991-06-01,
23ZZ,U,BAS,Basisschool met de Bijbel de Schuilplaats,Verzetslaan 17.0 ,3882HH,PUTTEN,Gelderland,Active,Regular Primary School,33.9,1990s,,1991-03-01 to Present,1991-03-01,
23ZP00,D,VST,AOC-C Friesland,Heliconweg 53.0 ,8913EV,LEEUWARDEN,Friesland,Closed,Primary Branch Location,15.0,1990s,2000s,1991-01-01 to 2006-01-01,1991-01-01,2006-01-01
23XK,U,SPEC,De Zwengel School voor SO en VSO,Carillonlaan 3.0 ,5261LT,VUGHT,Noord-Brabant,Active,Special Education,34.1,1990s,,1990-12-01 to Present,1990-12-01,
23XT,U,SBAS,Klavervier Opb School V So Lom,Rijstveld 4.0 ,6641SJ,BEUNINGEN GLD,Gelderland,Active,Special Primary Education,34.2,1990s,,1990-11-01 to Present,1990-11-01,
23XT,U,SBAS,School voor Speciaal Basisonderwijs Klavervier,Koolzaadveld 1.0 ,6641ST,BEUNINGEN GLD,Gelderland,Active,Special Primary Education,34.2,1990s,,1990-11-01 to Present,1990-11-01,
23WX00,D,VST,MONTESSORI COLLEGE,Nijenrodelaan 25.0 ,3554TW,UTRECHT,Utrecht,Closed,Primary Branch Location,7.0,1990s,1990s,1990-08-01 to 1997-08-01,1990-08-01,1997-08-01
23WC00,D,VST,Hickory College,Old Hickoryplein 1.0 ,6461EZ,KERKRADE,Limburg,Closed,Primary Branch Location,9.0,1990s,1990s,1990-08-01 to 1999-08-01,1990-08-01,1999-08-01
23XZ00,D,VST,Glasstadscholengemeensch V Mavo Lhno Ihno,Molenlaan 1.0 ,4143BC,LEERDAM,Utrecht,Closed,Primary Branch Location,9.0,1990s,1990s,1990-08-01 to 1999-08-01,1990-08-01,1999-08-01
12VI06,D,VST,Agrarisch Opleidings Centrum Friesland,Torenstraat 12.0 ,9203BE,DRACHTEN,Friesland,Closed,Primary Branch Location,14.0,1990s,2000s,1990-08-01 to 2004-08-01,1990-08-01,2004-08-01
12VI10,D,VST,Agrarisch Opleidings Centrum Friesland,Lemmerweg 53.0 ,8608AA,SNEEK,Friesland,Closed,Primary Branch Location,14.0,1990s,2000s,1990-08-01 to 2004-08-01,1990-08-01,2004-08-01
23UU00,D,VST,Pc/Rk Scholengemeenschap Voor Mavo Vbo Ivbo,Zaagmolenpad 26.0 ,7008AJ,DOETINCHEM,Gelderland,Closed,Primary Branch Location,16.0,1990s,2000s,1990-08-01 to 2006-08-01,1990-08-01,2006-08-01
23WP00,D,VST,Lambertus Coll Rk Sgm V Mavo Vbo,Pastoor Theelenstraat 20.0 ,6466JH,KERKRADE,Limburg,Closed,Primary Branch Location,19.0,1990s,2000s,1990-08-01 to 2009-08-01,1990-08-01,2009-08-01
23WP00,D,VST,Scholengemeenschap Atheneum Havo VMBO lokatie Kerkrade-West,Elbereveldstraat 105.0 ,6466JM,KERKRADE,Limburg,Closed,Primary Branch Location,19.0,1990s,2000s,1990-08-01 to 2009-08-01,1990-08-01,2009-08-01
12VI08,D,VST,Agrarisch Opleidings Centrum Friesland,Coehoorn v Scheltingaweg 3.0 ,8442EZ,HEERENVEEN,Friesland,Closed,Primary Branch Location,31.0,1990s,2020s,1990-08-01 to 2021-08-01,1990-08-01,2021-08-01
23PL,U,BAS,Openbare Basisschool,Helderseweg 8.0 ,1815AB,ALKMAAR,Noord-Holland,Closed,Regular Primary School,31.0,1990s,2020s,1990-08-01 to 2021-08-01,1990-08-01,2021-08-01
23XL,U,SBAS,Chr Lom-School De Branding,Nachtegaalstraat 14.0 ,3201VL,SPIJKENISSE,Zuid-Holland,Closed,Special Primary Education,34.0,1990s,2020s,1990-08-01 to 2024-08-01,1990-08-01,2024-08-01
23XL,U,SBAS,School voor Speciaal Basisonderwijs De Branding,Anne Frankstraat 26.0 ,3207GA,SPIJKENISSE,Zuid-Holland,Closed,Special Primary Education,34.0,1990s,2020s,1990-08-01 to 2024-08-01,1990-08-01,2024-08-01
23KU00,D,VST,Openbare Sgm Northgo Ath Havo Mavo,Duinwetering 107.0 ,2203HM,NOORDWIJK ZH,Zuid-Holland,Active,Primary Branch Location,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23PF,U,BAS,Openbare Basisschool de Meander,Het Avontuur 45.0 ,3823DW,AMERSFOORT,Utrecht,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23PG,U,BAS,Basisschool de Breede Hei,Dopheide 40.0 ,3823HL,AMERSFOORT,Utrecht,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23TB,U,BAS,Oecumenische Basisschool de Vlieger,Persijnlaan 47.0 ,1447EN,PURMEREND,Noord-Holland,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23TK,U,BAS,Protestants Christelijke Basisschool de Ark,Platbodem 201.0 ,1991NN,VELSERBROEK,Noord-Holland,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23TL,U,BAS,Openbare Basisschool Molenakker,Laarderweg 15.0 ,6003NJ,WEERT,Limburg,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23TL,U,BAS,Openbare Basisschool Molenakker,Oude Laarderweg 15.0 ,6003ME,WEERT,Limburg,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23TW,U,BAS,Rooms Katholieke Basisschool Triangel,Zeelandiahoeve 5.0 -7,1187KR,AMSTELVEEN,Noord-Holland,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23TX,U,BAS,Openbare Basisschool de Westwijzer,Zeelandiahoeve 1.0 -3,1187KR,AMSTELVEEN,Noord-Holland,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23TX,U,BAS,Openbare Basisschool de Westwijzer,Noorddammerweg 51.0 ,1187ZS,AMSTELVEEN,Noord-Holland,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23UB,U,BAS,Obs Dick Bruna,Roek 19.0 ,5508KE,VELDHOVEN,Noord-Brabant,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23UL,U,BAS,Het Jonge Duin,Floraronde 293.0 ,1991LB,VELSERBROEK,Noord-Holland,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23VD00,D,VST,Broeckland College voor Mavo Vbo Lwoo,Engel de Ruijterstraat 40.0 ,3621CV,BREUKELEN,Utrecht,Active,Primary Branch Location,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23VL00,D,VST,Sgm Pieter Zandt Sch V Lto Lhno Mavo Havo Vwo,Rembrandtstraat 2.0 ,8271AJ,IJSSELMUIDEN,Overijssel,Active,Primary Branch Location,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23VL00,D,VST,Scholengemeenschap Pieter Zandt voor Lyceum Havo Mavo Vbo Lwoo,Kamperstraatweg 1.0 a,8265PA,KAMPEN,Overijssel,Active,Primary Branch Location,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23WG,U,BAS,Rk Basissch De Vrijhoeve,Koekoek 24.0 A,5161SK,SPRANG-CAPELLE,Noord-Brabant,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23WG,U,BAS,Rooms Katholieke Basisschool de Vrijhoeve,Heggewikke 23.0 -25,5161XS,SPRANG-CAPELLE,Noord-Brabant,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23WU00,D,VST,Christelijke Scholengemeenschap voor Mavo en Vbo Eekeringe,Oostwijkstraat 8.0 ,8331ED,STEENWIJK,Overijssel,Active,Primary Branch Location,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23XJ,U,SBAS,Oecumenische Lom-School Het Plankier,Primulastraat 2.0 A,1441HB,PURMEREND,Noord-Holland,Active,Special Primary Education,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23XJ,U,SBAS,School voor Speciaal Basisonderwijs Het Plankier,Wales 4.0 ,1448JK,PURMEREND,Noord-Holland,Active,Special Primary Education,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23XP,U,BAS,De Triangel Protestants Christelijke Basisschool,Kerkhoflaan 29.0 ,6741BN,LUNTEREN,Gelderland,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
24BD,U,BAS,Karel Eijkmanschool,Asserring 200.0 -202,1187KM,AMSTELVEEN,Noord-Holland,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
24BD,U,BAS,Karel Eykman School,Jane Addamslaan 13.0 ,1187DA,AMSTELVEEN,Noord-Holland,Active,Regular Primary School,34.5,1990s,,1990-08-01 to Present,1990-08-01,
23PN,U,BAS,P Jongelingschool,Vogelpad 3.0 ,3752KV,BUNSCHOTEN-SPAKENBURG,Utrecht,Active,Regular Primary School,34.6,1990s,,1990-07-01 to Present,1990-07-01,
23PN,U,BAS,GBS Het Talent,Jan van Riebeeckstraat 27.0 ,3752XK,BUNSCHOTEN-SPAKENBURG,Utrecht,Active,Regular Primary School,34.6,1990s,,1990-07-01 to Present,1990-07-01,
23PU,U,BAS,De Vlinderboom Protestants Christelijk Jenaplanschool,Spinozastate 1.0 ,6716PC,EDE,Gelderland,Active,Regular Primary School,34.6,1990s,,1990-07-01 to Present,1990-07-01,
23UE,U,BAS,Willem Farelschool,Weidelaan 33.0 ,3871PP,HOEVELAKEN,Gelderland,Active,Regular Primary School,34.6,1990s,,1990-07-01 to Present,1990-07-01,
23UE,U,BAS,Willem Farelschool,Dassenburcht 9.0 ,3871JM,HOEVELAKEN,Gelderland,Active,Regular Primary School,34.6,1990s,,1990-07-01 to Present,1990-07-01,
23TY,U,BAS,OBS DE OLEANDER,Valderenstraat 5.0 ,6163GC,GELEEN,Limburg,Closed,Regular Primary School,7.2,1990s,1990s,1990-06-01 to 1997-08-01,1990-06-01,1997-08-01
23VZ,U,SBAS,Anne Frank OPB Streeksch voor SO LOM,Oude Brunssummerweg 97.0 ,6414SH,HEERLEN,Limburg,Closed,Special Primary Education,11.2,1990s,2000s,1990-06-01 to 2001-08-01,1990-06-01,2001-08-01
23PK,U,BAS,Protestants Christelyke Basisschool,Borneokade 103.0 ,1019KZ,AMSTERDAM,Noord-Holland,Closed,Regular Primary School,16.2,1990s,2000s,1990-06-01 to 2006-08-01,1990-06-01,2006-08-01
23RB,U,BAS,Hans Christiaans Andersen School,Wilhelmina van Pruisenln 409.0 ,2807MH,GOUDA,Zuid-Holland,Closed,Regular Primary School,18.2,1990s,2000s,1990-06-01 to 2008-08-01,1990-06-01,2008-08-01
23PW,U,BAS,Openbare Basisschool de Rietkampen,Palmedreef 2.0 ,6716HB,EDE,Gelderland,Closed,Regular Primary School,23.2,1990s,2010s,1990-06-01 to 2013-08-01,1990-06-01,2013-08-01
23RJ01,D,VST,De Wereldwijzer,Buitendorpstraat 5.0 ,2471AW,ZWAMMERDAM,Zuid-Holland,Closed,Primary Branch Location,23.2,1990s,2010s,1990-06-01 to 2013-08-01,1990-06-01,2013-08-01
23TD,U,BAS,De Delta Dalton Basisschool io,De Verbeelding 27.0 ,3892HZ,ZEEWOLDE,Flevoland,Closed,Regular Primary School,25.2,1990s,2010s,1990-06-01 to 2015-08-01,1990-06-01,2015-08-01
23VE,U,SBAS,Gereformeerde Mlk School,Stationsweg 20.0 ,7692AC,MARIENBERG,Overijssel,Closed,Special Primary Education,26.2,1990s,2010s,1990-06-01 to 2016-08-01,1990-06-01,2016-08-01
23UG,U,BAS,De Trekvogel,Heemradenlaan 26.0 -28,3401GX,IJSSELSTEIN,Utrecht,Closed,Regular Primary School,28.2,1990s,2010s,1990-06-01 to 2018-08-01,1990-06-01,2018-08-01
23RR,U,BAS,'T Kofschip,Corridor 76.0 ,3893BE,ZEEWOLDE,Flevoland,Closed,Regular Primary School,34.2,1990s,2020s,1990-06-01 to 2024-08-01,1990-06-01,2024-08-01
23UF,U,BAS,De Brug,Heemradenlaan 42.0 ,3401GX,IJSSELSTEIN,Utrecht,Closed,Regular Primary School,34.2,1990s,2020s,1990-06-01 to 2024-08-01,1990-06-01,2024-08-01
23PC,U,BAS,Openbare Basisschool de Bever,Chico Mendesring 188.0 ,3315MB,DORDRECHT,Zuid-Holland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PD,U,BAS,Montessorischool,Michiel de Ruyterstraat 6.0 ,4819AD,BREDA,Noord-Brabant,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PD,U,BAS,Montessorischool,Jan Nieuwenhuyzenstraat 15.0 ,4818RH,BREDA,Noord-Brabant,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PE,U,BAS,Protestants Christelijke Basisschool Johan Friso,Chico Mendesring 196.0 ,3315MB,DORDRECHT,Zuid-Holland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PH,U,BAS,Gabrie Mehenschool,Dopheide 34.0 ,3823HL,AMERSFOORT,Utrecht,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PJ,U,BAS,RK Basisschool De Achthoek,C. van Eesterenlaan 554.0 ,1019KB,AMSTERDAM,Noord-Holland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PJ,U,BAS,RK Basisschool De Achthoek,Borneokade 1.0 ,1019AV,AMSTERDAM,Noord-Holland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PJ,U,BAS,RK Basisschool De Achthoek,Baron G.A. Tindalplein 12.0 ,1019TJ,AMSTERDAM,Noord-Holland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PP,U,BAS,Christelijke Basisschool de Vlucht,Karekiet 16.0 ,3752NB,BUNSCHOTEN-SPAKENBURG,Utrecht,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PP,U,BAS,Christelijke Basisschool de Vlucht,Huismus 1.0 ,3752MA,BUNSCHOTEN-SPAKENBURG,Utrecht,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PR,U,BAS,Rooms Katholieke Basisschool de Panta Rhei,Palmedreef 4.0 ,6716HB,EDE,Gelderland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PT,U,BAS,Protestants Christelijke Basisschool de Brugge,Wilsondreef 45.0 ,6716DN,EDE,Gelderland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PV,U,BAS,Edese Openbare Basisschool Montessori-School,Prof. Oudpark 4.0 ,6716EJ,EDE,Gelderland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23PY,U,BAS,Openbare Basisschool de Klipper,Dubloen 98.0 ,1628RV,HOORN NH,Noord-Holland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RA,U,BAS,Openbare Basisschool de Hasselbraam,Tuinstraat 6.0 ,5611PL,EINDHOVEN,Noord-Brabant,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RC,U,BAS,Openbare Basisschool de Octopus,Femina Mullerstraat 78.0 ,2135MS,HOOFDDORP,Noord-Holland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RD,U,BAS,Christelijke Basisschool Tabitha,Femina Mullerstraat 74.0 ,2135MS,HOOFDDORP,Noord-Holland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RE,U,BAS,Rooms Katholieke Basisschool de Wilgen,Femina Mullerstraat 177.0 ,2135MH,HOOFDDORP,Noord-Holland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RF,U,BAS,Montessorischool Floriande,Deltaweg 103.0 ,2134XS,HOOFDDORP,Noord-Holland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RJ,U,BAS,De Wereldwijzer,De Oude Wereld 59.0 ,2408NV,ALPHEN AAN DEN RIJN,Zuid-Holland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RK,U,BAS,De Bloemenhof Christelijke Basisschool,Floralaan 18.0 ,7772LL,HARDENBERG,Overijssel,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RL,U,BAS,De Morgenster Gereformeerde Basisschool,Fonteinkruid 4.0 ,7772ML,HARDENBERG,Overijssel,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RM,U,BAS,Openbare Basisschool,Ganzenveld 85.0 ,7827SE,EMMEN,Drenthe,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RT,U,BAS,Basisschool Imam Albogari,Churchilllaan 79.0 -81,5224BT,'S-HERTOGENBOSCH,Noord-Brabant,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RT,U,BAS,Basisschool Imam Albogari,Marconistraat 82.0 ,5223CH,'S-HERTOGENBOSCH,Noord-Brabant,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RW,U,BAS,Basisschool de Telgenkamp,Luxemburgstraat 100.0 ,7559NB,HENGELO OV,Overijssel,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RX,U,BAS,Obs Roershoek,Wezelstraat 71.0 ,7559AR,HENGELO OV,Overijssel,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RX,U,BAS,Europaschool,Brusselstraat 15.0 ,7559NN,HENGELO OV,Overijssel,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RX,U,BAS,Basisschool Paus Joannes XXIII,Apolloplein 1.0 ,7552VG,HENGELO OV,Overijssel,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23RY,U,BAS,Openbare Basisschool de Bundel,Anna Bijnsring 201.0 ,7321HG,APELDOORN,Gelderland,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23TA,U,BAS,Openbare Basisschool Montessori-School,Zalmkolk 2.0 ,8017PA,ZWOLLE,Overijssel,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23TA,U,BAS,Openbare Montessori Basisschool,Energieweg 9.0 ,8017BE,ZWOLLE,Overijssel,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23TE,U,BAS,Obs De Carrousel,Pastoor Schattenstraat 25.0 ,6372JA,LANDGRAAF,Limburg,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
23TE,U,BAS,OBS De Carrousel,Baronstraat 11.0 ,6371AR,LANDGRAAF,Limburg,Active,Regular Primary School,34.6,1990s,,1990-06-01 to Present,1990-06-01,
