NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF
09MP,U,BAS,CBS De Sprankeling,Badhuswei 31.0 d,9104DX,DAMWALD,Friesland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MQ,U,BAS,Amsterdamse Montessorisch,Willem Witsenstraat 14.0 ,1077AZ,AMSTERDAM,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MS,U,BAS,Anne Frankschool,De Sanstraat 13.0 ,9744HW,GRONINGEN,Groningen,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MT,U,BAS,Rooms Katholieke Basisschool De Vijf Hoeven,Hendrik van Tulderstraat 7.0 ,5046NC,TILBURG,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MU,U,BAS,Rooms Katholieke Basisschool Sint Werenfridus,Schoolstraat 7.0 ,6931DV,WESTERVOORT,Gelderland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MX,U,BAS,Christelijke Basisschool De Arke,H.W. van Glinstrastraat 8.0 ,9251CL,BURGUM,Friesland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MY,U,BAS,Christelijke Basisschool De Zonnewijzer,Beeklaan 16.0 ,1403RE,BUSSUM,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MY,U,BAS,De Zonnewijzer,Zanderijweg 49.0 ,1403XW,BUSSUM,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MY,U,BAS,De Zonnewijzer,Lange Heul 149.0 b,1403NH,BUSSUM,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MY,U,BAS,De Zonnewijzer,Fortlaan 9.0 ,1405BM,BUSSUM,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09MZ,U,BAS,Anne Frankschool,K.P.-laan 20.0 ,7943CV,MEPPEL,Drenthe,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NC,U,BAS,De Vosseberg,Anjelierstraat 9.0 ,6002TP,WEERT,Limburg,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09ND,U,BAS,Basisschool St Gregorius,Van Der Looswei 4.0 ,8615LV,BLAUWHUIS,Friesland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NG,U,BAS,Dr A Kuyperschool,Buttervin 1.0 ,1619DB,ANDIJK,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NH,U,BAS,Protestants Christelijke Basisschool Juliana,Julianastraat 6.0 ,3161AK,RHOON,Zuid-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NJ,U,BAS,Nutsbasisschool De Gentiaan,IJssellaan 2.0 ,5691HB,SON EN BREUGEL,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NJ,U,BAS,basisschool de Ruimte,Honingbij 1.0 ,5692VE,SON EN BREUGEL,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NN,U,BAS,Rudolf Steinerschool,Sperwerstraat 1.0 ,1826KL,ALKMAAR,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NO,U,BAS,Christelijke Basisschool De Ark,Ds L Touwenlaan 44.0 A,8754BT,MAKKUM,Friesland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NT,U,BAS,Protestants Christelijke School De Zaaier,Noorder Esweg 45.0 ,7921CW,ZUIDWOLDE DR,Drenthe,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NW,U,BAS,Basissch 'T Palet,Jan Steenstraat 2.0 ,5251NG,VLIJMEN,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NW,U,BAS,Rooms Katholieke Basisschool t Palet,Jan Steenstraat 23.0 A,5251NE,VLIJMEN,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NW,U,BAS,Rooms Katholieke Basisschool t Palet,Jan Steenstraat 2.0 a,5251NG,VLIJMEN,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NW,U,BAS,Rooms Katholieke Basisschool t Palet,Jan Steenstraat 2.0 A,5251NG,VLIJMEN,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09NZ,U,BAS,Vrije School,Groesbeekseweg 146.0 ,6524DN,NIJMEGEN,Gelderland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09OA,U,BAS,De Twine,Wilhelminastraat 3.0 ,8651AC,IJLST,Friesland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09OB,U,BAS,Kardinaal Alfrink-School,Geuzingerbrink 74.0 ,7812NX,EMMEN,Drenthe,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09OD,U,BAS,Kerckeboschschool,Oranje Nassaulaan 5.0 ,3708GA,ZEIST,Utrecht,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09OF,U,BAS,Angelaschool,Wijnstraat 9.0 ,6101AK,ECHT,Limburg,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09OF,U,BAS,Angelaschool,Hofakker 15.0 ,6101EM,ECHT,Limburg,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09OF,U,BAS,Angelaschool,Harlindestraat 10.0 ,6101DS,ECHT,Limburg,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09OV,U,BAS,Amstelschool,Reijgershof 4.0 ,1191CS,OUDERKERK AAN DE AMSTEL,Noord-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PB,U,BAS,Rk Basissch Joh Paulus,Demer 19.0 ,5256AB,HEUSDEN GEM HEUSDEN,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PD,U,BAS,De Goede Herder,Montgolfierstraat 71.0 ,5703EB,HELMOND,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PE,U,BAS,Basissch De Teugelaar,Berghemseweg 12.0 -16,5348CJ,OSS,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PE,U,BAS,Basissch De Teugelaar,Berghemseweg 16.0 ,5348CJ,OSS,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PF,U,BAS,Rooms Katholieke Basisschool De Vlek,Eikakkerhoeven 83.0 ,5242KM,ROSMALEN,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PH,U,BAS,Vrije School Ede,Nachtegaallaan 49.0 ,6713BW,EDE,Gelderland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PI,U,BAS,Basisschool Het Kompas,Trompstraat 5.0 ,2676XH,MAASDIJK,Zuid-Holland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PJ,U,BAS,Ichthusschool,Simke Kloostermanstr 44.0 ,9061BG,GYTSJERK,Friesland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PM,U,BAS,Rk Basisschool Maria,Paus Joanneslaan 16.0 ,5469CA,ERP,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PM,U,BAS,Rooms Katholieke Basisschool Maria,Horstakker 38.0 ,5469HH,ERP,Noord-Brabant,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PV,U,BAS,Prof D Deddensschool,Van Houtenlaan 1.0 A,8014ZM,ZWOLLE,Overijssel,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PX,U,BAS,Rooms Katholieke Basisschool 't Zonnelied,Ooievaarstraat 1.0 ,6651XX,DRUTEN,Gelderland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
09PX,U,BAS,Integraal Kindcentrum,Irenestraat 3.0 ,6651XK,DRUTEN,Gelderland,Active,Regular Primary School,39.5,1980s,,1985-08-01 to Present,1985-08-01,
