NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,education_sector,institution_type,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,is_active,CODE_STAND_RECORD,location_type,function_type,education_type,temporal_status,years_of_operation
00DI04,D,VSTZ,secondary,locations,regionale scholengemeenschap de Borgen,Schoolstraat 1.0 ,9301KB,RODEN,Drenthe,2001-08-01,,True,H,VSTZ,D,Secondary Care Location,Active,23.5
00DI04,D,VSTZ,secondary,locations,R.S.G. de Borgen,Schoolstraat 1.0 ,9301KB,RODEN,Drenthe,2001-08-01,,True,H,VSTZ,D,Secondary Care Location,Active,23.5
00DI04,D,VSTZ,secondary,locations,R.S.G. de Borgen,Burchtlaan 2.0 ,9301TJ,RODEN,Drenthe,2001-08-01,,True,H,VSTZ,D,Secondary Care Location,Active,23.5
00DI04,D,VSTZ,secondary,locations,rsg de Borgen voor Lyceum Havo mavo Vbo Lwoo,Burchtlaan 2.0 ,9301TJ,RODEN,Drenthe,2001-08-01,,True,H,VSTZ,D,Secondary Care Location,Active,23.5
00DI04,D,VSTZ,secondary,locations,rsg de Borgen voor Lyceum Havo mavo Vbo Lwoo,Burchtlaan 2.0 ,9301TJ,RODEN,Drenthe,2001-08-01,,True,A,VSTZ,D,Secondary Care Location,Active,23.5
00EF,U,VOS,secondary,main,Hor Brood En Banket Bakk Vaksch St Hubertus,Reinaert de Vosstraat 27.0 ,1055CL,AMSTERDAM,Noord-Holland,1955-01-01,,True,H,VOS,U,Regular Secondary School,Active,70.1
00EF,U,VOS,secondary,main,Stichting Regionaal Opleidingen Centrum Amsterdam en Omstreken,Reinaert de Vosstraat 27.0 ,1055CL,AMSTERDAM,Noord-Holland,1955-01-01,,True,H,VOS,U,Regular Secondary School,Active,70.1
00EF,U,VOS,secondary,main,ROC Amsterdam e o,Reinaert de Vosstraat 27.0 ,1055CL,AMSTERDAM,Noord-Holland,1955-01-01,,True,H,VOS,U,Regular Secondary School,Active,70.1
00EF,U,VOS,secondary,main,VMBO onder bestuur van het ROC van Amsterdam locatie St. Hubertus,Reinaert de Vosstraat 27.0 ,1055CL,AMSTERDAM,Noord-Holland,1955-01-01,,True,H,VOS,U,Regular Secondary School,Active,70.1
00EF,U,VOS,secondary,main,VMBO onder bestuur van het ROC van Amsterdam locatie St. Hubertus,Betuwestraat 29.0 ,1079PR,AMSTERDAM,Noord-Holland,1955-01-01,,True,H,VOS,U,Regular Secondary School,Active,70.1
00EF,U,VOS,secondary,main,Voortgezet Onderwijs van Amsterdam voor Vbo en Lwoo,Betuwestraat 29.0 ,1079PR,AMSTERDAM,Noord-Holland,1955-01-01,,True,H,VOS,U,Regular Secondary School,Active,70.1
00EF,U,VOS,secondary,main,Voortgezet Onderwijs van Amsterdam voor Vbo en Lwoo,Betuwestraat 29.0 ,1079PR,AMSTERDAM,Noord-Holland,1955-01-01,,True,A,VOS,U,Regular Secondary School,Active,70.1
00HD,U,VOS,secondary,main,De Waezenburg Sgm V Ath Havo Mavo Vbo Lwoo,Waezenburglaan 55.0 ,9351HC,LEEK,Groningen,1976-08-01,2000-08-01,False,H,VOS,U,Regular Secondary School,Historical,24.0
00HD,U,VOS,secondary,main,De Waezenburg Scholengemeenschap voor Atheneum HAVO MAVO VBO LWOO,Waezenburglaan 55.0 ,9351HC,LEEK,Groningen,1976-08-01,2000-08-01,False,H,VOS,U,Regular Secondary School,Historical,24.0
00HD02,D,VSTS,secondary,locations,De Waezenburg Sgm V Mavo Havo Vwo Vbo Ivbo,Kersenlaan 16.0 ,9861CR,GROOTEGAST,Groningen,1976-08-01,2000-08-01,False,H,VSTS,D,Secondary Branch Location,Historical,24.0
00HD02,D,VSTS,secondary,locations,De Waezenburg Scholengemeenschap voor Atheneum HAVO MAVO VBO LWOO,Kersenlaan 16.0 ,9861CR,GROOTEGAST,Groningen,1976-08-01,2000-08-01,False,H,VSTS,D,Secondary Branch Location,Historical,24.0
00HE,U,VOS,secondary,main,Aldenhof College Scholengemeenschap voor MAVO LTO ITO en LHNO,Mgr. Nolensstraat 58.0 ,6431JP,HOENSBROEK,Limburg,1986-08-01,1998-08-01,False,H,VOS,U,Regular Secondary School,Historical,12.0
00HI,U,VOS,secondary,main,Sgm Dalton Vatel Voor Lyc Havo Mavo Vbo Ivbo,Loolaan 125.0 ,2271TM,VOORBURG,Zuid-Holland,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00HI,U,VOS,secondary,main,Scholengemeenschap Dalton Vatel Voor Lyceum HAVO MAVO VBO LWOO,Loolaan 125.0 ,2271TM,VOORBURG,Zuid-Holland,1900-01-01,,True,H,VOS,U,Regular Secondary School,Active,125.1
00HI,U,VOS,secondary,main,SGM Dalton College Voorburg voor Lyceum HAVO MAVO VBO LWOO,Loolaan 125.0 ,2271TM,VOORBURG,Zuid-Holland,1900-01-01,,True,A,VOS,U,Regular Secondary School,Active,125.1
00HS,U,VOS,secondary,main,YPELAERCOLLEGE,Ypelaerstraat 4.0 ,5081BS,HILVARENBEEK,Noord-Brabant,1900-01-01,1997-08-01,False,H,VOS,U,Regular Secondary School,Historical,97.6
00IE,U,VOS,secondary,main,Brandenberg College MAVO VBO LWOO,Graafstraat 10.0 ,6371XS,LANDGRAAF,Limburg,1900-01-01,2005-08-01,False,H,VOS,U,Regular Secondary School,Historical,105.6
