NR_ADMINISTRATIE,CODE_FUNCTIE,CODE_SOORT,NAAM_VOLLEDIG,full_address,POSTCODE_VEST,NAAM_PLAATS_VEST,PROVINCIE_VEST,location_status,facility_type,years_of_operation,decade_opened,decade_closed,operation_period,DT_IN_BEDRIJF,DT_UIT_BEDRIJF,latitude,longitude
24KY00,D,LOC,Instituut Gooijaers,De Watersnip 18.0 ,5271LH,SINT-MICHIELSGESTEL,Noord-Brabant,Closed,Higher Education Branch,15.7,1980s,2000s,1988-11-21 to 2004-08-01,1988-11-21,2004-08-01,51.64335120000001,5.3639697
23AC00,D,LOC,Lasopleiding Skot,Industrielaan 16.0 ,3903AC,VEENENDAAL,Utrecht,Closed,Higher Education Branch,15.7,1980s,2000s,1988-11-01 to 2004-08-01,1988-11-01,2004-08-01,52.0179973,5.554645
24GU00,D,LOC,Stichting Vakontwikkeling Verzekeringsbedrijf,Einsteindreef 133.0 ,3562GB,UTRECHT,Utrecht,Closed,Higher Education Branch,15.8,1980s,2000s,1988-10-26 to 2004-08-01,1988-10-26,2004-08-01,52.121626,5.1170965
22OY00,D,LOC,Instituut voor Vak Onderwys Bolsward eo,Dr Joost Halbertsmastr 1.0 ,8701ET,BOLSWARD,Friesland,Closed,Higher Education Branch,24.9,1980s,2010s,1988-09-05 to 2013-08-01,1988-09-05,2013-08-01,53.0669706,5.5245222
23AG00,D,LOC,Stichting Bevordering Beroeps Opleiding Midden Holland,Groen van Prinsterersngl 49.0 ,2805TD,GOUDA,Zuid-Holland,Closed,Higher Education Branch,9.6,1980s,1990s,1988-09-01 to 1998-04-21,1988-09-01,1998-04-21,52.0266666,4.7128368
24LD00,D,LOC,Associatie SMK,Rechtestraat 26.0 ,5611GP,EINDHOVEN,Noord-Brabant,Closed,Higher Education Branch,11.2,1980s,1990s,1988-09-01 to 1999-12-01,1988-09-01,1999-12-01,51.43859089999999,5.4781399
24JZ00,D,LOC,Stichting Koninklijk Onderwijs Fonds van de Scheepvaart,Nieuwezijds Voorburgwal 120.0 ,1012SH,AMSTERDAM,Noord-Holland,Closed,Higher Education Branch,15.9,1980s,2000s,1988-09-01 to 2004-08-01,1988-09-01,2004-08-01,52.3752737,4.8917275
24JZ00,D,LOC,Stichting Koninklijk Onderwijs Fonds van de Scheepvaart,Weesperstraat 140.0 ,1112AP,DIEMEN,Noord-Holland,Closed,Higher Education Branch,15.9,1980s,2000s,1988-09-01 to 2004-08-01,1988-09-01,2004-08-01,52.3318254,4.974418399999999
24KK00,D,LOC,Minerva,Operetteweg 33.0 ,1323VK,ALMERE,Flevoland,Closed,Higher Education Branch,33.3,1980s,2020s,1988-09-01 to 2022-01-01,1988-09-01,2022-01-01,52.362728,5.1868097
22KA01,D,ULOC,cbs De Westerkim,Ooievaarstraat 45.0 ,1506XL,ZAANDAM,Noord-Holland,Active,University Branch,36.5,1980s,,1988-08-01 to Present,1988-08-01,,52.36774699999999,4.888547099999999
